mouseID,sex,date,weekday,schedule,trials,note
dodo1,M,2026-01-27,1.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,261.0,
dodo2,M,2026-01-27,1.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
dodo3,M,2026-01-27,1.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,277.0,
dodo4,M,2026-01-27,1.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
quagga1,F,2026-01-27,1.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,270.0,
quagga2,F,2026-01-27,1.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_MP_RewardTone_AND_Punish,200.0,
quagga3,F,2026-01-27,1.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_MP_RewardTone_AND_Punish,200.0,
quagga4,F,2026-01-27,1.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_MP_RewardTone_AND_Punish,200.0,
,,,,,,
dodo1,M,2026-01-28,2.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,228.0,
dodo2,M,2026-01-28,2.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
dodo3,M,2026-01-28,2.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,192.0,
dodo4,M,2026-01-28,2.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
quagga1,F,2026-01-28,2.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,299.0,
quagga2,F,2026-01-28,2.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
quagga3,F,2026-01-28,2.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
quagga4,F,2026-01-28,2.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
,,,,,,
dodo1,M,2026-01-29,3.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,273.0,
dodo2,M,2026-01-29,3.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
dodo3,M,2026-01-29,3.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,227.0,
dodo4,M,2026-01-29,3.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
quagga1,F,2026-01-29,3.0,cog_Mouse Pairwise Must Initiate Training shortITI_MP_RewardTone,253.0,
quagga2,F,2026-01-29,3.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_MP_RewardTone_AND_Punish,200.0,
quagga3,F,2026-01-29,3.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_MP_RewardTone_AND_Punish,200.0,
quagga4,F,2026-01-29,3.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_MP_RewardTone_AND_Punish,200.0,
,,,,,,
dodo1,M,2026-01-30,4.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,299.0,
dodo2,M,2026-01-30,4.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
dodo3,M,2026-01-30,4.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,193.0,
dodo4,M,2026-01-30,4.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,155.0,
quagga1,F,2026-01-30,4.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,275.0,
quagga2,F,2026-01-30,4.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
quagga3,F,2026-01-30,4.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
quagga4,F,2026-01-30,4.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
,,,,,,
dodo1,M,2026-02-02,0.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,309.0,
dodo2,M,2026-02-02,0.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
dodo3,M,2026-02-02,0.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,224.0,
dodo4,M,2026-02-02,0.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
quagga1,F,2026-02-02,0.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,243.0,
quagga2,F,2026-02-02,0.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
quagga3,F,2026-02-02,0.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
quagga4,F,2026-02-02,0.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
,,,,,,
dodo1,M,2026-02-03,1.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
dodo2,M,2026-02-03,1.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
dodo3,M,2026-02-03,1.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
dodo4,M,2026-02-03,1.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
quagga1,F,2026-02-03,1.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_MP_RewardTone_AND_Punish,200.0,
quagga2,F,2026-02-03,1.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
quagga3,F,2026-02-03,1.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
quagga4,F,2026-02-03,1.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
,,,,,,
dodo1,M,2026-02-04,2.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
dodo2,M,2026-02-04,2.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
dodo3,M,2026-02-04,2.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
dodo4,M,2026-02-04,2.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
quagga1,F,2026-02-04,2.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
quagga2,F,2026-02-04,2.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
quagga3,F,2026-02-04,2.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
quagga4,F,2026-02-04,2.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
,,,,,,
dodo1,M,2026-02-05,3.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
dodo2,M,2026-02-05,3.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
dodo2,M,2026-02-05,3.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
dodo3,M,2026-02-05,3.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
quagga1,F,2026-02-05,3.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
quagga2,F,2026-02-05,3.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
quagga3,F,2026-02-05,3.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
quagga4,F,2026-02-05,3.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
,,,,,,
dodo1,M,2026-02-06,4.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
dodo2,M,2026-02-06,4.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
dodo3,M,2026-02-06,4.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
dodo4,M,2026-02-06,4.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
quagga1,F,2026-02-06,4.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
quagga2,F,2026-02-06,4.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
quagga3,F,2026-02-06,4.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
quagga4,F,2026-02-06,4.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
,,,,,,
dodo1,M,2026-02-09,0.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
dodo2,M,2026-02-09,0.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
dodo3,M,2026-02-09,0.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
dodo4,M,2026-02-09,0.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
quagga1,F,2026-02-09,0.0,cog_Mouse Pairwise Punish Incorrect Training short ITI_RewardTone_AND_Punish,200.0,
quagga2,F,2026-02-09,0.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
quagga3,F,2026-02-09,0.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
quagga4,F,2026-02-09,0.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
,,,,,,
dodo1,M,2026-02-10,1.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
